Идентификатор,Название,Библиотека схемы
0,Проект,Standard solution
1,На согласовании,Standard solution
2,Согласован,Standard solution
3,Не согласован,Standard solution
4,На доработке,Standard solution
5,Отмена,Standard solution
6,Зарегистрирован,Standard solution
7,На регистрации,Standard solution
8,Подписан,Standard solution
9,Отказ,Standard solution
10,На подписании,Standard solution
11,Внутреннее ознакомление,Standard solution
12,На ознакомлении,Standard solution
13,Снято,Standard solution
14,На проверке,Alliance