Название,Комментарий,en,ru
KrStates_Doc_Active,Состояние документа - активное согласование,Approving,На согласовании
KrStates_Doc_Approved,Состояние документа - согласован,Approved,Согласован
KrStates_Doc_Canceled,Состояние документа - согласование отменено,Cancelled,Отмена
KrStates_Doc_Declined,Состояние документа - отказ,Declined,Отказ
KrStates_Doc_Disapproved,Состояние документа - не согласован,Not approved,Не согласован
KrStates_Doc_Draft,Состояние документа - проект,Draft,Проект
KrStates_Doc_Editing,Состояние документа - на доработке,Amending,На доработке
KrStates_Doc_Registered,Состояние документа - зарегистрирован,Registered,Зарегистрирован
KrStates_Doc_Registration,Состояние документа - на регистрации,Registration,На регистрации
KrStates_Doc_Signed,Состояние документа - подписан,Signed,Подписан
KrStates_Doc_Signing,Состояние документа - на подписании,Signing,На подписании
KrStates_Stage_Active,Состояние этапа - активен,Active,Активен
KrStates_Stage_Completed,Состояние этапа - завершен,Completed,Завершен
KrStates_Stage_Inactive,Состояние этапа - не запущен,Inactive,Не запущен
KrStates_Stage_Skipped,Состояние этапа - пропущен,Skipped,Пропущен